timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1614370457379,5,1,1,1614370457379,1614370457002,1614370457379,false,70,596,100px,100px,83.641461019704,342.64343138951796
1614370457402,5,1,1,1614370457379,1614370457002,1614370457379,false,69,596,100px,100px,84,342
1614370457420,5,1,1,1614370457379,1614370457002,1614370457379,false,69,595,100px,100px,84,343
1614370457436,5,1,1,1614370457379,1614370457002,1614370457379,false,68,595,100px,100px,85,343
1614370457453,5,1,1,1614370457379,1614370457002,1614370457379,false,67,595,100px,100px,87,343
1614370457487,5,1,1,1614370457379,1614370457002,1614370457379,false,66,593,100px,100px,89,347
1614370457503,5,1,1,1614370457379,1614370457002,1614370457379,false,63,591,100px,100px,95,351
1614370457553,5,1,1,1614370457379,1614370457002,1614370457379,false,63,592,100px,100px,94,348
1614370457570,5,1,1,1614370457379,1614370457002,1614370457379,false,64,593,100px,100px,92,345
1614370457587,5,1,1,1614370457379,1614370457002,1614370457379,false,66,594,100px,100px,88,343
1614370457604,5,1,1,1614370457379,1614370457002,1614370457379,false,66,594,100px,100px,87,343
1614370457654,5,1,1,1614370457379,1614370457002,1614370457379,false,66,596,100px,100px,87,338
1614370457671,5,1,1,1614370457379,1614370457002,1614370457379,false,66,599,100px,100px,87,331
1614370457686,5,1,1,1614370457379,1614370457002,1614370457379,false,65,602,100px,100px,88,324
1614370457721,5,1,1,1614370457379,1614370457002,1614370457379,false,65,600,100px,100px,88,328
1614370457736,5,1,1,1614370457379,1614370457002,1614370457379,false,67,591,100px,100px,84,345
1614370457754,5,1,1,1614370457379,1614370457002,1614370457379,false,75,562,100px,100px,67,402
1614370457770,5,1,1,1614370457379,1614370457002,1614370457379,false,83,533,100px,100px,50,459
1614370457787,5,1,1,1614370457379,1614370457002,1614370457379,false,89,513,100px,100px,37,499
1614370457804,5,1,1,1614370457379,1614370457002,1614370457379,false,89,509,100px,100px,36,507
1614370457821,5,1,1,1614370457379,1614370457002,1614370457379,false,89,493,100px,100px,36,539
1614370457838,5,1,1,1614370457379,1614370457002,1614370457379,false,87,486,100px,100px,40,552
1614370457854,5,1,1,1614370457379,1614370457002,1614370457379,false,80,475,100px,100px,54,573
1614370457871,5,1,1,1614370457379,1614370457002,1614370457379,false,77,473,100px,100px,59,577
1614370457888,5,1,1,1614370457379,1614370457002,1614370457379,false,73,472,100px,100px,67,579
1614370457903,5,1,1,1614370457379,1614370457002,1614370457379,false,72,472,100px,100px,68,579
1614370457987,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,77,571
1614370458005,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,84,564
1614370458021,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,95,556
1614370458037,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,114,541
1614370458054,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,125,535
1614370458071,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,126,533
1614370458170,5,1,1,1614370457379,1614370457987,1614370457379,true,72,472,100px,100px,125,533
1614370458214,5,1,1,1614370457379,1614370457987,1614370458214,true,72,472,100px,100px,125,533
1614370458215,5,1,2,1614370458215,1614370457987,1614370458214,false,3,141,100px,100px,53.23572193118508,485.9543085469174
1614370458256,5,1,2,1614370458215,1614370457987,1614370458214,false,3,140,100px,100px,53,486
1614370458272,5,1,2,1614370458215,1614370457987,1614370458214,false,5,137,100px,100px,49,491
1614370458289,5,1,2,1614370458215,1614370457987,1614370458214,false,6,134,100px,100px,46,496
1614370458305,5,1,2,1614370458215,1614370457987,1614370458214,false,6,130,100px,100px,45,503
1614370458321,5,1,2,1614370458215,1614370457987,1614370458214,false,6,128,100px,100px,45,506
1614370458355,5,1,2,1614370458215,1614370457987,1614370458214,false,5,128,100px,100px,46,506
1614370458371,5,1,2,1614370458215,1614370457987,1614370458214,false,1,131,100px,100px,53,499
1614370458388,5,1,2,1614370458215,1614370457987,1614370458214,false,1,133,100px,100px,59,494
1614370458438,5,1,2,1614370458215,1614370457987,1614370458214,false,1,132,100px,100px,72,495
1614370458506,5,1,2,1614370458215,1614370457987,1614370458214,false,1,130,100px,100px,77,499
1614370458522,5,1,2,1614370458215,1614370457987,1614370458214,false,1,135,100px,100px,79,489
1614370458539,5,1,2,1614370458215,1614370457987,1614370458214,false,3,149,100px,100px,74,461
1614370458555,5,1,2,1614370458215,1614370457987,1614370458214,false,9,160,100px,100px,61,439
1614370458573,5,1,2,1614370458215,1614370457987,1614370458214,false,15,172,100px,100px,48,415
1614370458590,5,1,2,1614370458215,1614370457987,1614370458214,false,16,177,100px,100px,46,404
1614370458606,5,1,2,1614370458215,1614370457987,1614370458214,false,17,183,100px,100px,44,392
1614370458622,5,1,2,1614370458215,1614370457987,1614370458214,false,17,197,100px,100px,43,363
1614370458639,5,1,2,1614370458215,1614370457987,1614370458214,false,18,207,100px,100px,41,343
1614370458655,5,1,2,1614370458215,1614370457987,1614370458214,false,21,222,100px,100px,35,312
1614370458672,5,1,2,1614370458215,1614370458672,1614370458214,true,21,222,100px,100px,34,307
1614370458689,5,1,2,1614370458215,1614370458672,1614370458214,true,21,222,100px,100px,33,295
