timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615202938025,0,1,1,1615202938025,1615202937763,1615202938023,false,642,367,100px,100px,987,411.99999999999994
1615202938025,0,1,1,1615202938025,1615202937763,1615202938023,false,641,367,100px,100px,988,412
1615202938030,0,1,1,1615202938025,1615202937763,1615202938023,false,640,367,100px,100px,989,412
1615202938041,0,1,1,1615202938025,1615202937763,1615202938023,false,640,367,100px,100px,990,412
1615202938064,0,1,1,1615202938025,1615202937763,1615202938023,false,640,367,100px,100px,990,411
1615202938075,0,1,1,1615202938025,1615202937763,1615202938023,false,640,367,100px,100px,990,411
1615202938087,0,1,1,1615202938025,1615202937763,1615202938023,false,640,367,100px,100px,990,411
1615202938109,0,1,1,1615202938025,1615202937763,1615202938023,false,640,367,100px,100px,990,411
1615202938202,0,1,1,1615202938025,1615202937763,1615202938023,false,640,366,100px,100px,990,413
1615202938211,0,1,1,1615202938025,1615202937763,1615202938023,false,640,365,100px,100px,990,414
1615202938222,0,1,1,1615202938025,1615202937763,1615202938023,false,640,364,100px,100px,990,417
1615202938237,0,1,1,1615202938025,1615202937763,1615202938023,false,640,363,100px,100px,990,421
1615202938244,0,1,1,1615202938025,1615202937763,1615202938023,false,640,362,100px,100px,990,424
1615202938256,0,1,1,1615202938025,1615202937763,1615202938023,false,640,361,100px,100px,990,425
1615202938271,0,1,1,1615202938025,1615202937763,1615202938023,false,640,360,100px,100px,990,426
1615202938289,0,1,1,1615202938025,1615202937763,1615202938023,false,640,360,100px,100px,990,426
1615202938304,0,1,1,1615202938025,1615202937763,1615202938023,false,640,361,100px,100px,990,422
1615202938313,0,1,1,1615202938025,1615202937763,1615202938023,false,640,362,100px,100px,990,415
1615202938324,0,1,1,1615202938025,1615202937763,1615202938023,false,640,363,100px,100px,990,409
1615202938337,0,1,1,1615202938025,1615202937763,1615202938023,false,640,365,100px,100px,990,398
1615202938347,0,1,1,1615202938025,1615202937763,1615202938023,false,640,368,100px,100px,990,385
1615202938359,0,1,1,1615202938025,1615202937763,1615202938023,false,640,371,100px,100px,990,371
1615202938370,0,1,1,1615202938025,1615202937763,1615202938023,false,640,373,100px,100px,988,360
1615202938380,0,1,1,1615202938025,1615202937763,1615202938023,false,640,375,100px,100px,986,352
1615202938390,0,1,1,1615202938025,1615202937763,1615202938023,false,641,377,100px,100px,981,341
1615202938404,0,1,1,1615202938025,1615202937763,1615202938023,false,642,379,100px,100px,974,330
1615202938414,0,1,1,1615202938025,1615202937763,1615202938023,false,643,381,100px,100px,967,319
1615202938425,0,1,1,1615202938025,1615202937763,1615202938023,false,646,384,100px,100px,953,306
1615202938437,0,1,1,1615202938025,1615202937763,1615202938023,false,647,385,100px,100px,946,299
1615202938448,0,1,1,1615202938025,1615202937763,1615202938023,false,649,387,100px,100px,936,290
1615202938459,0,1,1,1615202938025,1615202937763,1615202938023,false,651,388,100px,100px,926,283
1615202938471,0,1,1,1615202938025,1615202937763,1615202938023,false,653,389,100px,100px,916,278
1615202938482,0,1,1,1615202938025,1615202937763,1615202938023,false,654,389,100px,100px,910,276
1615202938492,0,1,1,1615202938025,1615202937763,1615202938023,false,656,389,100px,100px,899,275
1615202938504,0,1,1,1615202938025,1615202937763,1615202938023,false,658,389,100px,100px,890,275
1615202938515,0,1,1,1615202938025,1615202937763,1615202938023,false,659,389,100px,100px,883,275
1615202938527,0,1,1,1615202938025,1615202937763,1615202938023,false,660,387,100px,100px,878,280
