timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615563128419,13,1,1,1615563128419,1615563128040,1615563128418,false,193,309,150px,50px,403.84146883576716,64.11572214232189
1615563128673,13,1,1,1615563128419,1615563128040,1615563128418,false,194,306,150px,50px,397,74
1615563128691,13,1,1,1615563128419,1615563128040,1615563128418,false,200,300,150px,50px,371,96
1615563128707,13,1,1,1615563128419,1615563128040,1615563128418,false,211,292,150px,50px,324,127
1615563128724,13,1,1,1615563128419,1615563128040,1615563128418,false,234,279,150px,50px,232,177
1615563128741,13,1,1,1615563128419,1615563128040,1615563128418,false,242,274,150px,50px,198,196
1615563128757,13,1,1,1615563128419,1615563128040,1615563128418,false,245,271,150px,50px,183,207
1615563128774,13,1,1,1615563128419,1615563128040,1615563128418,false,246,269,150px,50px,177,212
1615563128790,13,1,1,1615563128419,1615563128040,1615563128418,false,246,268,150px,50px,177,214
1615563128807,13,1,1,1615563128419,1615563128040,1615563128418,false,246,267,150px,50px,177,216
1615563128824,13,1,1,1615563128419,1615563128040,1615563128418,false,246,264,150px,50px,177,225
1615563128841,13,1,1,1615563128419,1615563128040,1615563128418,false,245,262,150px,50px,179,232
1615563128857,13,1,1,1615563128419,1615563128040,1615563128418,false,244,258,150px,50px,180,245
1615563128873,13,1,1,1615563128419,1615563128040,1615563128418,false,243,254,150px,50px,181,259
1615563128890,13,1,1,1615563128419,1615563128040,1615563128418,false,243,250,150px,50px,181,274
1615563128907,13,1,1,1615563128419,1615563128040,1615563128418,false,242,246,150px,50px,183,287
1615563128923,13,1,1,1615563128419,1615563128040,1615563128418,false,240,243,150px,50px,188,297
1615563128940,13,1,1,1615563128419,1615563128040,1615563128418,false,238,240,150px,50px,194,308
1615563128957,13,1,1,1615563128419,1615563128040,1615563128418,false,236,237,150px,50px,202,319
1615563128973,13,1,1,1615563128419,1615563128040,1615563128418,false,233,235,150px,50px,212,325
1615563128990,13,1,1,1615563128419,1615563128040,1615563128418,false,225,232,150px,50px,242,335
1615563129007,13,1,1,1615563128419,1615563128040,1615563128418,false,217,230,150px,50px,272,341
1615563129024,13,1,1,1615563128419,1615563128040,1615563128418,false,211,230,150px,50px,294,341
1615563129040,13,1,1,1615563128419,1615563128040,1615563128418,false,205,230,150px,50px,315,339
1615563129057,13,1,1,1615563128419,1615563128040,1615563128418,false,201,231,150px,50px,328,334
1615563129073,13,1,1,1615563128419,1615563128040,1615563128418,false,200,231,150px,50px,332,331
1615563129090,13,1,1,1615563128419,1615563128040,1615563128418,false,199,231,150px,50px,334,330
1615563129107,13,1,1,1615563128419,1615563128040,1615563128418,false,199,232,150px,50px,334,326
1615563129124,13,1,1,1615563128419,1615563128040,1615563128418,false,198,233,150px,50px,336,320
1615563129141,13,1,1,1615563128419,1615563128040,1615563128418,false,198,235,150px,50px,336,312
1615563129321,13,1,1,1615563128419,1615563129321,1615563128418,true,198,235,150px,50px,314,270
1615563129323,13,1,1,1615563128419,1615563129321,1615563128418,false,204,245,150px,50px,288,228
1615563129357,13,1,1,1615563128419,1615563129321,1615563128418,false,204,244,150px,50px,285,230
1615563129373,13,1,1,1615563128419,1615563129321,1615563128418,false,204,243,150px,50px,283,232
1615563129390,13,1,1,1615563128419,1615563129321,1615563128418,false,206,242,150px,50px,275,234
1615563129396,13,1,1,1615563128419,1615563129321,1615563128418,false,207,242,150px,50px,269,234
1615563129397,13,1,1,1615563128419,1615563129321,1615563129397,false,207,242,150px,50px,269,234
1615563129407,13,1,1,1615563128419,1615563129321,1615563129397,false,208,242,150px,50px,263,234
1615563129423,13,1,1,1615563128419,1615563129321,1615563129397,false,210,241,150px,50px,252,235
1615563129440,13,1,1,1615563128419,1615563129321,1615563129397,false,211,241,150px,50px,246,233
1615563129457,13,1,1,1615563128419,1615563129321,1615563129397,false,211,241,150px,50px,244,231
1615563129473,13,1,1,1615563128419,1615563129321,1615563129397,false,211,241,150px,50px,241,228
1615563129491,13,1,1,1615563128419,1615563129321,1615563129397,false,211,241,150px,50px,240,228
1615563129523,13,1,1,1615563128419,1615563129321,1615563129397,false,211,241,150px,50px,240,227
1615563129540,13,1,1,1615563128419,1615563129321,1615563129397,false,210,241,150px,50px,241,227
1615563129590,13,1,1,1615563128419,1615563129321,1615563129397,false,209,241,150px,50px,242,227
1615563129608,13,1,1,1615563128419,1615563129321,1615563129397,false,208,240,150px,50px,243,228
1615563129623,13,1,1,1615563128419,1615563129321,1615563129397,false,207,239,150px,50px,245,230
1615563129641,13,1,1,1615563128419,1615563129321,1615563129397,false,204,237,150px,50px,256,238
1615563129654,13,1,1,1615563128419,1615563129654,1615563129397,true,204,237,150px,50px,266,246
1615563129654,13,1,1,1615563128419,1615563129654,1615563129654,true,204,237,150px,50px,266,246
1615563129655,13,1,2,1615563129655,1615563129654,1615563129654,false,141,443,150px,50px,499.37850878149567,545.6912067450997
1615563129674,13,1,2,1615563129655,1615563129654,1615563129654,false,139,442,150px,50px,506,549
1615563129690,13,1,2,1615563129655,1615563129654,1615563129654,false,138,441,150px,50px,508,551
1615563129707,13,1,2,1615563129655,1615563129654,1615563129654,false,137,440,150px,50px,510,552
1615563129724,13,1,2,1615563129655,1615563129654,1615563129654,false,136,440,150px,50px,511,552
1615563129740,13,1,2,1615563129655,1615563129654,1615563129654,false,135,439,150px,50px,513,553
1615563129749,13,1,2,1615563129655,1615563129654,1615563129654,false,134,438,150px,50px,515,554
1615563129774,13,1,2,1615563129655,1615563129654,1615563129654,false,133,437,150px,50px,517,555
1615563129840,13,1,2,1615563129655,1615563129654,1615563129654,false,132,437,150px,50px,518,555
1615563129866,13,1,2,1615563129655,1615563129654,1615563129866,false,132,437,150px,50px,518,555
1615563130023,13,1,2,1615563129655,1615563129654,1615563129866,false,134,438,150px,50px,508,551
1615563130039,13,1,2,1615563129655,1615563129654,1615563129866,false,137,439,150px,50px,494,547
1615563130057,13,1,2,1615563129655,1615563129654,1615563129866,false,140,439,150px,50px,481,545
1615563130074,13,1,2,1615563129655,1615563129654,1615563129866,false,144,439,150px,50px,465,544
1615563130090,13,1,2,1615563129655,1615563129654,1615563129866,false,148,439,150px,50px,446,544
1615563130107,13,1,2,1615563129655,1615563129654,1615563129866,false,154,439,150px,50px,419,544
1615563130123,13,1,2,1615563129655,1615563129654,1615563129866,false,160,439,150px,50px,393,544
1615563130139,13,1,2,1615563129655,1615563129654,1615563129866,false,163,441,150px,50px,379,534
1615563130156,13,1,2,1615563129655,1615563129654,1615563129866,false,168,441,150px,50px,357,531
1615563130172,13,1,2,1615563129655,1615563129654,1615563129866,false,172,443,150px,50px,339,522
1615563130189,13,1,2,1615563129655,1615563129654,1615563129866,false,177,445,150px,50px,317,513
1615563130207,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,306,510
1615563130223,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,304,510
1615563130256,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,304,509
1615563130274,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,302,508
1615563130274,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,300,507
1615563130289,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,298,506
1615563130307,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,297,505
1615563130323,13,1,2,1615563129655,1615563129654,1615563129866,false,179,445,150px,50px,295,503
1615563130341,13,1,2,1615563129655,1615563129654,1615563129866,false,180,445,150px,50px,289,500
1615563130357,13,1,2,1615563129655,1615563129654,1615563129866,false,181,446,150px,50px,283,496
1615563130374,13,1,2,1615563129655,1615563130374,1615563129866,true,181,446,150px,50px,278,492
1615563130390,13,1,2,1615563129655,1615563130374,1615563129866,true,181,446,150px,50px,272,486
1615563130407,13,1,2,1615563129655,1615563130374,1615563129866,true,181,446,150px,50px,265,480
1615563130414,13,1,2,1615563129655,1615563130374,1615563129866,true,181,446,150px,50px,263,480
1615563130415,13,1,2,1615563129655,1615563130374,1615563130415,true,181,446,150px,50px,263,480
1615563130416,13,1,3,1615563130416,1615563130374,1615563130415,false,83,145,150px,50px,168.70078687288319,464.58886042637215
1615563130424,13,1,3,1615563130416,1615563130374,1615563130415,false,83,145,150px,50px,168,463
1615563130440,13,1,3,1615563130416,1615563130374,1615563130415,false,83,145,150px,50px,167,461
1615563130524,13,1,3,1615563130416,1615563130374,1615563130415,false,82,145,150px,50px,168,461
1615563130540,13,1,3,1615563130416,1615563130374,1615563130415,false,81,145,150px,50px,169,461
1615563130609,13,1,3,1615563130416,1615563130374,1615563130609,false,81,145,150px,50px,169,461
1615563130657,13,1,3,1615563130416,1615563130374,1615563130609,false,81,144,150px,50px,169,462
1615563130690,13,1,3,1615563130416,1615563130374,1615563130609,false,80,144,150px,50px,171,462
1615563130707,13,1,3,1615563130416,1615563130374,1615563130609,false,79,144,150px,50px,173,460
1615563130724,13,1,3,1615563130416,1615563130374,1615563130609,false,78,144,150px,50px,175,458
1615563130740,13,1,3,1615563130416,1615563130374,1615563130609,false,77,145,150px,50px,176,452
1615563130757,13,1,3,1615563130416,1615563130374,1615563130609,false,76,147,150px,50px,178,443
1615563130774,13,1,3,1615563130416,1615563130374,1615563130609,false,75,151,150px,50px,182,426
1615563130790,13,1,3,1615563130416,1615563130374,1615563130609,false,74,159,150px,50px,184,392
1615563130807,13,1,3,1615563130416,1615563130374,1615563130609,false,74,163,150px,50px,184,373
1615563130824,13,1,3,1615563130416,1615563130374,1615563130609,false,74,166,150px,50px,182,358
1615563130840,13,1,3,1615563130416,1615563130374,1615563130609,false,74,169,150px,50px,180,344
1615563130857,13,1,3,1615563130416,1615563130374,1615563130609,false,74,172,150px,50px,178,332
1615563130873,13,1,3,1615563130416,1615563130374,1615563130609,false,74,174,150px,50px,177,322
1615563130889,13,1,3,1615563130416,1615563130374,1615563130609,false,74,175,150px,50px,177,315
1615563130907,13,1,3,1615563130416,1615563130374,1615563130609,false,74,177,150px,50px,177,306
1615563130923,13,1,3,1615563130416,1615563130374,1615563130609,false,74,177,150px,50px,177,303
1615563130940,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,297
1615563130956,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,294
1615563130973,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,291
1615563130990,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,288
1615563131007,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,285
1615563131023,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,282
1615563131040,13,1,3,1615563130416,1615563130374,1615563130609,false,74,178,150px,50px,177,280
1615563131057,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,177,276
1615563131073,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,274
1615563131089,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,272
1615563131107,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,269
1615563131123,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,267
1615563131140,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,265
1615563131157,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,263
1615563131223,13,1,3,1615563130416,1615563130374,1615563130609,false,74,179,150px,50px,176,261
1615563131239,13,1,3,1615563130416,1615563130374,1615563130609,false,73,180,150px,50px,177,257
1615563131257,13,1,3,1615563130416,1615563130374,1615563130609,false,72,181,150px,50px,179,250
1615563131274,13,1,3,1615563130416,1615563130374,1615563130609,false,72,182,150px,50px,179,243
1615563131290,13,1,3,1615563130416,1615563130374,1615563130609,false,71,183,150px,50px,181,237
1615563131291,13,1,3,1615563130416,1615563130374,1615563130609,false,70,183,150px,50px,182,235
1615563131292,13,1,3,1615563130416,1615563130374,1615563131292,false,70,183,150px,50px,182,235
1615563131307,13,1,3,1615563130416,1615563130374,1615563131292,false,70,183,150px,50px,182,233
1615563131324,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,232
1615563131340,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,230
1615563131356,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,228
1615563131373,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,225
1615563131390,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,223
1615563131407,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,220
1615563131423,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,216
1615563131432,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,215
1615563131440,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,214
1615563131457,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,213
1615563131473,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,212
1615563131489,13,1,3,1615563130416,1615563131324,1615563131292,true,70,183,150px,50px,182,211
1615563131606,13,1,3,1615563130416,1615563131324,1615563131606,true,70,183,150px,50px,182,211
1615563131606,13,1,4,1615563131606,1615563131324,1615563131606,false,189,150,150px,50px,558.9543085469174,164.76427806881492
1615563131706,13,1,4,1615563131606,1615563131324,1615563131606,false,189,149,150px,50px,558,165
1615563131873,13,1,4,1615563131606,1615563131324,1615563131606,false,189,148,150px,50px,558,166
1615563131889,13,1,4,1615563131606,1615563131324,1615563131606,false,189,147,150px,50px,558,167
1615563131908,13,1,4,1615563131606,1615563131324,1615563131606,false,186,147,150px,50px,568,165
1615563131924,13,1,4,1615563131606,1615563131324,1615563131606,false,181,147,150px,50px,585,163
1615563131973,13,1,4,1615563131606,1615563131324,1615563131606,false,181,147,150px,50px,585,162
1615563132024,13,1,4,1615563131606,1615563131324,1615563131606,false,182,146,150px,50px,580,163
1615563132040,13,1,4,1615563131606,1615563131324,1615563131606,false,187,144,150px,50px,557,168
1615563132057,13,1,4,1615563131606,1615563131324,1615563131606,false,198,142,150px,50px,510,174
1615563132073,13,1,4,1615563131606,1615563131324,1615563131606,false,208,141,150px,50px,467,176
1615563132090,13,1,4,1615563131606,1615563131324,1615563131606,false,217,141,150px,50px,429,176
