timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615555883557,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,606.6830451114539,201.29490168751582
1615555883804,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,607,201
1615555883819,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,620,201
1615555883836,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,652,205
1615555883853,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,711,213
1615555883869,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,778,224
1615555883886,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,835,226
1615555883903,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,891,225
1615555883919,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,951,224
1615555883936,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,990,223
1615555883952,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,990,221
1615555883969,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,990,219
1615555883986,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,990,219
1615555884080,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,990,220
1615555884086,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,990,222
1615555884102,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,987,235
1615555884119,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,982,248
1615555884136,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,973,258
1615555884152,6,-1,1,1615555883557,1615555883302,1615555883557,false,822,274,150px,50px,958,269
1615555884169,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,947,278
1615555884186,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,941,286
1615555884202,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,938,292
1615555884219,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,937,295
1615555884236,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,936,295
1615555884252,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,934,296
1615555884269,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,931,297
1615555884286,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,928,299
1615555884302,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,924,300
1615555884319,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,922,300
1615555884413,6,-1,1,1615555883557,1615555884169,1615555883557,true,822,274,150px,50px,921,300
1615555884506,6,-1,1,1615555883557,1615555884169,1615555884506,true,822,274,150px,50px,921,300
1615555884506,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,447.0456914530826,172.76427806881492
1615555884622,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,446,172
1615555884636,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,442,172
1615555884653,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,432,172
1615555884669,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,425,172
1615555884686,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,419,171
1615555884702,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,411,169
1615555884719,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,401,168
1615555884736,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,384,164
1615555884752,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,352,154
1615555884769,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,317,141
1615555884786,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,286,126
1615555884802,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,277,113
1615555884819,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,275,104
1615555884836,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,275,93
1615555884853,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,282,84
1615555884869,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,289,76
1615555884886,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,295,72
1615555884902,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,304,70
1615555884919,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,316,70
1615555884936,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,332,76
1615555884952,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,351,89
1615555884969,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,369,105
1615555884986,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,392,121
1615555885002,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,424,139
1615555885019,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,472,161
1615555885036,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,528,181
1615555885052,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,586,195
1615555885069,6,-1,2,1615555884506,1615555884169,1615555884506,false,677,158,150px,50px,642,203
1615555885086,6,-1,2,1615555884506,1615555885086,1615555884506,true,677,158,150px,50px,699,207
1615555885102,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,751,213
1615555885119,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,788,218
1615555885136,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,809,223
1615555885152,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,821,227
1615555885169,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,826,228
1615555885186,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,829,227
1615555885202,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,833,224
1615555885219,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,842,222
1615555885236,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,854,222
1615555885252,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,867,221
1615555885269,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,875,218
1615555885286,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,876,215
1615555885302,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,873,212
1615555885319,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,866,209
1615555885336,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,863,209
1615555885352,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,860,208
1615555885369,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,857,206
1615555885386,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,849,202
1615555885402,6,-1,2,1615555884506,1615555885086,1615555884506,false,677,158,150px,50px,833,197
1615555885419,6,-1,2,1615555884506,1615555885419,1615555884506,true,677,158,150px,50px,816,194
1615555885436,6,-1,2,1615555884506,1615555885419,1615555884506,true,677,158,150px,50px,805,193
1615555885452,6,-1,2,1615555884506,1615555885419,1615555884506,true,677,158,150px,50px,798,191
1615555885469,6,-1,2,1615555884506,1615555885419,1615555884506,true,677,158,150px,50px,794,189
1615555885486,6,-1,2,1615555884506,1615555885419,1615555884506,true,677,158,150px,50px,791,186
