timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615563443421,13,3,1,1615563443421,1615563443167,1615563443421,false,221,175,150px,50px,123.242128958776,443.7112717665125
1615563443450,13,3,1,1615563443421,1615563443167,1615563443421,false,221,175,150px,50px,122,443
1615563443567,13,3,1,1615563443421,1615563443167,1615563443421,false,220,175,150px,50px,123,443
1615563443584,13,3,1,1615563443421,1615563443167,1615563443421,false,220,174,150px,50px,123,444
1615563443649,13,3,1,1615563443421,1615563443167,1615563443649,false,220,174,150px,50px,123,444
1615563443700,13,3,1,1615563443421,1615563443167,1615563443649,false,221,174,150px,50px,121,444
1615563443717,13,3,1,1615563443421,1615563443167,1615563443649,false,221,174,150px,50px,120,444
1615563443751,13,3,1,1615563443421,1615563443167,1615563443649,false,221,177,150px,50px,120,440
1615563443767,13,3,1,1615563443421,1615563443167,1615563443649,false,221,195,150px,50px,119,415
1615563443784,13,3,1,1615563443421,1615563443167,1615563443649,false,222,228,150px,50px,117,371
1615563443801,13,3,1,1615563443421,1615563443167,1615563443649,false,222,249,150px,50px,117,343
1615563443818,13,3,1,1615563443421,1615563443167,1615563443649,false,215,272,150px,50px,126,312
1615563443834,13,3,1,1615563443421,1615563443167,1615563443649,false,207,292,150px,50px,136,285
1615563443851,13,3,1,1615563443421,1615563443167,1615563443649,false,194,310,150px,50px,153,261
1615563443867,13,3,1,1615563443421,1615563443167,1615563443649,false,182,320,150px,50px,168,247
1615563443885,13,3,1,1615563443421,1615563443167,1615563443649,false,170,326,150px,50px,183,239
1615563443901,13,3,1,1615563443421,1615563443167,1615563443649,false,162,330,150px,50px,193,233
1615563443918,13,3,1,1615563443421,1615563443167,1615563443649,false,156,331,150px,50px,201,231
1615563443934,13,3,1,1615563443421,1615563443167,1615563443649,false,153,331,150px,50px,204,230
1615563443968,13,3,1,1615563443421,1615563443167,1615563443649,false,143,331,150px,50px,217,230
1615563443984,13,3,1,1615563443421,1615563443167,1615563443649,false,134,331,150px,50px,228,230
1615563444001,13,3,1,1615563443421,1615563443167,1615563443649,false,129,331,150px,50px,234,230
1615563444018,13,3,1,1615563443421,1615563443167,1615563443649,false,127,331,150px,50px,236,230
1615563444034,13,3,1,1615563443421,1615563443167,1615563443649,false,125,329,150px,50px,238,232
1615563444051,13,3,1,1615563443421,1615563443167,1615563443649,false,122,326,150px,50px,241,235
1615563444068,13,3,1,1615563443421,1615563443167,1615563443649,false,119,323,150px,50px,244,239
1615563444084,13,3,1,1615563443421,1615563443167,1615563443649,false,117,319,150px,50px,246,244
1615563444101,13,3,1,1615563443421,1615563443167,1615563443649,false,117,317,150px,50px,246,246
1615563444118,13,3,1,1615563443421,1615563443167,1615563443649,false,116,312,150px,50px,247,252
1615563444134,13,3,1,1615563443421,1615563443167,1615563443649,false,116,308,150px,50px,247,257
1615563444151,13,3,1,1615563443421,1615563443167,1615563443649,false,116,306,150px,50px,247,259
1615563444168,13,3,1,1615563443421,1615563443167,1615563443649,false,116,305,150px,50px,247,260
1615563444184,13,3,1,1615563443421,1615563443167,1615563443649,false,116,303,150px,50px,246,262
1615563444201,13,3,1,1615563443421,1615563443167,1615563443649,false,117,301,150px,50px,244,264
1615563444218,13,3,1,1615563443421,1615563443167,1615563443649,false,118,298,150px,50px,242,268
1615563444234,13,3,1,1615563443421,1615563443167,1615563443649,false,119,296,150px,50px,240,270
1615563444251,13,3,1,1615563443421,1615563443167,1615563443649,false,119,294,150px,50px,239,272
1615563444259,13,3,1,1615563443421,1615563443167,1615563443649,false,120,293,150px,50px,237,273
1615563444267,13,3,1,1615563443421,1615563443167,1615563443649,false,120,292,150px,50px,237,274
1615563444284,13,3,1,1615563443421,1615563443167,1615563443649,false,120,290,150px,50px,236,276
1615563444301,13,3,1,1615563443421,1615563443167,1615563443649,false,120,289,150px,50px,235,277
1615563444318,13,3,1,1615563443421,1615563443167,1615563443649,false,120,288,150px,50px,234,278
1615563444335,13,3,1,1615563443421,1615563443167,1615563443649,false,120,287,150px,50px,234,279
1615563444351,13,3,1,1615563443421,1615563443167,1615563443649,false,121,285,150px,50px,232,281
1615563444368,13,3,1,1615563443421,1615563443167,1615563443649,false,122,285,150px,50px,230,281
1615563444378,13,3,1,1615563443421,1615563443167,1615563443649,false,124,283,150px,50px,227,283
1615563444379,13,3,1,1615563443421,1615563443167,1615563444379,false,124,283,150px,50px,227,283
1615563444401,13,3,1,1615563443421,1615563443167,1615563444379,false,125,283,150px,50px,225,283
1615563444418,13,3,1,1615563443421,1615563443167,1615563444379,false,125,283,150px,50px,224,283
1615563444480,13,3,1,1615563443421,1615563444480,1615563444379,true,125,283,150px,50px,225,284
1615563444517,13,3,1,1615563443421,1615563444480,1615563444379,true,125,283,150px,50px,226,285
1615563444589,13,3,1,1615563443421,1615563444480,1615563444379,true,125,283,150px,50px,226,286
1615563444591,13,3,1,1615563443421,1615563444480,1615563444591,true,125,283,150px,50px,226,286
1615563444591,13,3,2,1615563444591,1615563444480,1615563444591,false,437,140,150px,50px,790.6555726797951,257.67044633714704
1615563444734,13,3,2,1615563444591,1615563444480,1615563444591,false,436,140,150px,50px,791,257
1615563444768,13,3,2,1615563444591,1615563444480,1615563444591,false,435,139,150px,50px,792,258
1615563444801,13,3,2,1615563444591,1615563444480,1615563444591,false,434,139,150px,50px,793,258
1615563444818,13,3,2,1615563444591,1615563444480,1615563444591,false,434,138,150px,50px,793,259
1615563444851,13,3,2,1615563444591,1615563444480,1615563444591,false,432,136,150px,50px,795,261
1615563444868,13,3,2,1615563444591,1615563444480,1615563444591,false,429,135,150px,50px,799,262
1615563444885,13,3,2,1615563444591,1615563444480,1615563444591,false,425,134,150px,50px,804,263
1615563444901,13,3,2,1615563444591,1615563444480,1615563444591,false,424,134,150px,50px,805,263
1615563444985,13,3,2,1615563444591,1615563444480,1615563444591,false,424,134,150px,50px,805,262
1615563445001,13,3,2,1615563444591,1615563444480,1615563444591,false,424,134,150px,50px,804,262
1615563445018,13,3,2,1615563444591,1615563444480,1615563444591,false,427,134,150px,50px,800,262
1615563445035,13,3,2,1615563444591,1615563444480,1615563444591,false,428,134,150px,50px,798,262
1615563445051,13,3,2,1615563444591,1615563444480,1615563444591,false,430,134,150px,50px,795,262
1615563445068,13,3,2,1615563444591,1615563444480,1615563444591,false,434,134,150px,50px,789,262
1615563445085,13,3,2,1615563444591,1615563444480,1615563444591,false,438,134,150px,50px,783,262
1615563445101,13,3,2,1615563444591,1615563444480,1615563444591,false,441,134,150px,50px,778,262
1615563445118,13,3,2,1615563444591,1615563444480,1615563444591,false,445,134,150px,50px,772,262
1615563445135,13,3,2,1615563444591,1615563444480,1615563444591,false,450,133,150px,50px,765,263
1615563445151,13,3,2,1615563444591,1615563444480,1615563444591,false,456,132,150px,50px,756,264
1615563445167,13,3,2,1615563444591,1615563444480,1615563444591,false,463,131,150px,50px,746,265
1615563445185,13,3,2,1615563444591,1615563444480,1615563444591,false,466,130,150px,50px,741,266
1615563445201,13,3,2,1615563444591,1615563444480,1615563444591,false,469,129,150px,50px,736,267
1615563445218,13,3,2,1615563444591,1615563444480,1615563444591,false,472,129,150px,50px,732,267
1615563445235,13,3,2,1615563444591,1615563444480,1615563444591,false,477,129,150px,50px,725,267
1615563445251,13,3,2,1615563444591,1615563444480,1615563444591,false,480,129,150px,50px,720,267
1615563445268,13,3,2,1615563444591,1615563444480,1615563444591,false,485,129,150px,50px,713,267
1615563445285,13,3,2,1615563444591,1615563444480,1615563444591,false,488,129,150px,50px,709,267
1615563445301,13,3,2,1615563444591,1615563444480,1615563444591,false,490,130,150px,50px,706,265
1615563445318,13,3,2,1615563444591,1615563444480,1615563444591,false,494,131,150px,50px,700,263
