timestampLog,pid,condition_id,run_id,timestampConditionStart,timestampCollision,timestampClick,mouseIsInsideElement,targetX,targetY,targetWidth,targetHeight,cursorX,cursorY
1615573515787,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,654.6024888623008,35.19805989840464
1615573515999,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,655,36
1615573516012,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,656,36
1615573516022,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,656,37
1615573516064,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,657,37
1615573516076,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,657,38
1615573516089,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,663,44
1615573516104,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,665,46
1615573516116,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,666,46
1615573516129,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,672,49
1615573516142,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,678,52
1615573516156,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,683,56
1615573516170,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,693,73
1615573516184,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,699,89
1615573516196,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,704,107
1615573516210,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,711,129
1615573516223,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,717,148
1615573516236,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,727,168
1615573516249,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,734,177
1615573516262,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,737,181
1615573516277,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,745,185
1615573516290,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,746,186
1615573516303,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,748,187
1615573516317,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,755,190
1615573516330,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,756,190
1615573516342,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,759,191
1615573516356,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,762,193
1615573516370,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,770,200
1615573516382,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,773,202
1615573516397,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,777,205
1615573516410,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,783,207
1615573516423,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,788,209
1615573516436,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,794,213
1615573516449,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,806,220
1615573516463,19,0,1,1615573515787,1615573515490,1615573348256,false,793,231,150px,50px,814,228
1615573516476,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,822,234
1615573516490,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,828,240
1615573516503,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,832,243
1615573516516,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,840,247
1615573516530,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,857,255
1615573516543,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,866,259
1615573516556,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,868,260
1615573516570,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,872,263
1615573516584,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,877,268
1615573516596,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,881,272
1615573516609,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,882,273
1615573516719,19,0,1,1615573515787,1615573516476,1615573348256,true,793,231,150px,50px,882,273
1615573516720,19,0,2,1615573516720,1615573516476,1615573348256,false,366,477,150px,50px,655.4061104857512,292.4004919812505
